decision,criteria
choose laptop,"Price|Battery|Performance|RAM|Portability"
buy laptop,"Price|Battery|Performance|Display|Brand"
gaming laptop,"Performance|Graphics|Cooling|RAM|Price"
buy smartphone,"Price|Camera|Battery|Storage|Display"
choose mobile phone,"Price|Battery|Camera|Performance|Brand"
buy car,"Price|Mileage|Safety|Maintenance|Comfort"
choose university,"Ranking|Fees|Location|Placement|Faculty"
select job offer,"Salary|Location|Growth|Work-Life Balance|Company Culture"
choose apartment,"Rent|Location|Safety|Space|Amenities"
buy headphones,"Price|Sound Quality|Battery|Comfort|Brand"
choose restaurant,"Price|Taste|Hygiene|Service|Location"
buy camera,"Price|Lens Quality|Battery|Portability|Resolution"
choose programming language,"Performance|Community|Learning Curve|Libraries|Jobs"
choose cloud provider,"Cost|Scalability|Security|Support|Integration"
pick project topic,"Novelty|Complexity|Time Required|Learning Value|Presentation"
buy tablet,"Price|Battery|Display|Performance|Portability"
choose internship,"Learning|Stipend|Location|Brand Value|Work Culture"
select hostel,"Fees|Distance|Food Quality|Safety|Room Quality"
buy smartwatch,"Price|Battery|Health Features|Compatibility|Display"
choose bike,"Price|Mileage|Comfort|Maintenance|Safety"
